cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.63374	0.015347	0.29121	69	0.1	7	100	1	0.6	0.7	1
0.63366	0.015	0.25771	57	0.1	4	100	1	0.9	0.6	1
0.63362	0.017603	0.48673	365	0.03	2	100	1	0.7	0.7	1
0.63362	0.019002	0.3784	236	0.03	2	100	1	0.8	0.8	1
0.63362	0.016294	0.3055	68	0.1	4	100	1	0.8	0.8	1
0.6336	0.017355	0.39363	115	0.1	5	100	1	0.9	0.7	1
0.63358	0.017378	0.17785	30	0.5	2	100	1	1	0.9	1
0.63353	0.017981	0.26451	70	0.1	4	100	1	0.6	0.6	1
0.63352	0.016051	0.61346	725	0.03	1	100	1	0.7	0.5	1
0.63352	0.014241	0.38875	274	0.03	2	100	1	0.6	0.6	1
0.63347	0.015027	0.37193	265	0.03	2	100	1	0.6	0.5	1
0.63347	0.01942	0.52285	409	0.03	2	100	1	0.8	0.7	1
0.63347	0.021868	0.15491	49	0.3	1	100	1	0.7	0.8	1
0.63347	0.023345	0.20065	54	0.2	2	100	1	0.7	0.7	1
0.63342	0.018112	0.43541	287	0.03	2	100	1	0.7	0.8	1
0.63342	0.023514	0.15676	46	0.3	1	100	1	0.8	0.9	1
0.63336	0.014367	0.28242	59	0.1	4	100	1	0.6	0.8	1
0.63334	0.016546	0.13406	34	0.5	1	100	1	0.7	0.6	1
0.63332	0.01507	0.35885	96	0.1	4	100	1	0.9	0.9	1
0.63331	0.017115	0.22345	37	0.3	2	100	1	0.9	0.9	1
0.63331	0.017269	0.38107	166	0.1	4	100	1	0.7	0.6	1
0.63331	0.013873	0.35631	84	0.1	7	100	1	1	0.6	1
0.63331	0.013873	0.35845	84	0.1	7	100	1	1	0.6	1
0.63326	0.017363	0.34419	118	0.1	3	100	1	0.6	0.9	1
0.63323	0.013346	0.37451	229	0.03	2	100	1	0.6	0.8	1
0.63322	0.013163	0.40008	229	0.03	2	100	1	0.6	0.9	1
0.6332	0.015222	0.32327	95	0.1	5	100	1	0.8	0.6	1
0.63319	0.016166	0.20379	131	0.5	1	100	1	0.9	0.5	1
0.63317	0.020564	0.51753	540	0.03	1	100	1	0.8	0.7	1
