cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.63964	0.024578	0.15021	27	0.3	4	100	1	0.7	0.8	1
0.63959	0.016546	0.17783	72	0.2	4	100	1	0.7	0.7	1
0.6394	0.021153	0.17069	60	0.2	4	100	1	0.9	0.7	1
0.63932	0.024461	0.17405	67	0.2	5	100	1	0.7	0.5	1
0.6391	0.018917	0.14879	26	0.2	5	100	1	0.9	0.6	1
0.63865	0.022468	0.14402	37	0.2	4	100	1	0.8	0.5	1
0.63841	0.021125	0.17955	51	0.2	5	100	1	0.8	0.8	1
0.63834	0.019731	0.19791	81	0.2	5	100	1	0.7	0.8	1
0.63831	0.020128	0.15539	41	0.2	4	100	1	0.8	0.7	1
0.63821	0.021687	0.16599	39	0.2	5	100	1	0.8	0.7	1
0.63796	0.022313	0.18942	76	0.2	4	100	1	0.7	0.5	1
0.63777	0.022334	0.12898	13	0.3	5	100	1	0.7	0.5	1
0.63776	0.019169	0.13803	20	0.2	4	100	1	0.9	0.6	1
0.63765	0.020717	0.1582	40	0.2	4	100	1	0.8	0.8	1
0.63762	0.017514	0.16232	44	0.3	5	100	1	0.6	0.8	1
0.63756	0.015342	0.15564	38	0.2	4	100	1	0.9	0.8	1
0.63754	0.024446	0.14404	19	0.2	4	100	1	0.8	0.9	1
0.63728	0.017439	0.14653	40	0.2	4	100	1	0.9	0.5	1
0.63728	0.022423	0.20846	78	0.3	5	100	1	0.7	0.9	1
0.63726	0.017562	0.18709	79	0.2	5	100	1	0.8	0.5	1
0.63709	0.017281	0.16032	42	0.3	4	100	1	0.6	0.8	1
0.63701	0.019087	0.14329	33	0.3	4	100	1	0.8	0.6	1
0.63693	0.017302	0.15894	34	0.3	5	100	1	0.7	0.7	1
0.63653	0.018457	0.14856	35	0.2	4	100	1	0.7	0.6	1
0.63653	0.022518	0.1728	57	0.2	5	100	1	0.8	0.6	1
0.63645	0.021673	0.14805	24	0.3	4	100	1	0.9	0.9	1
0.63639	0.023881	0.16105	44	0.2	5	100	1	0.7	0.6	1
0.6362	0.021305	0.15938	39	0.2	5	100	1	0.7	0.7	1
0.63615	0.019234	0.17094	43	0.2	5	100	1	0.7	0.9	1
0.63612	0.020036	0.22945	110	0.3	5	100	1	0.7	0.8	1
0.63605	0.015748	0.16305	37	0.2	4	100	1	0.6	0.7	1
0.63602	0.018897	0.15494	18	0.3	5	100	1	0.9	0.9	1
0.63592	0.020747	0.13679	16	0.3	5	100	1	0.9	0.5	1
0.63592	0.022158	0.19552	86	0.3	5	100	1	0.7	0.6	1
0.63587	0.018152	0.15974	40	0.2	4	100	1	1	1	1
0.6358	0.02576	0.1645	14	0.2	5	100	1	0.9	0.9	1
0.6357	0.017127	0.17866	45	0.2	5	100	1	0.9	0.8	1
0.63569	0.022692	0.16608	32	0.2	5	100	1	1	1	1
0.63557	0.018428	0.16372	44	0.3	4	100	1	0.6	0.9	1
0.63556	0.020294	0.15767	40	0.2	4	100	1	0.7	0.8	1
0.63545	0.017694	0.16545	44	0.2	4	100	1	0.6	0.9	1
0.63542	0.015377	0.15061	37	0.2	5	100	1	0.6	0.7	1
0.6354	0.018026	0.13134	19	0.3	4	100	1	0.9	0.5	1
0.63528	0.016795	0.13476	17	0.3	4	100	1	0.9	0.6	1
0.63523	0.020942	0.14665	35	0.2	4	100	1	0.8	0.6	1
0.63515	0.019714	0.16874	26	0.2	5	100	1	1	0.9	1
