cv_mean	cv_std	min_taken	cost	gamma
0.52896	0.0015266	12.241	10	1
0.52851	0.00080819	10.353	1	2
0.52847	0.00059566	9.9345	1	1
0.52842	0.0021168	12.102	100	1
0.52824	0.00072398	14.214	10	2
0.52824	0.00072398	14.231	100	2
