cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.64003	0.01751	0.12234	78	0.4	1	100	1	0.9	0.6	1
0.63884	0.019359	0.14908	17	0.5	3	100	1	0.7	0.8	1
0.63755	0.015344	0.14128	44	0.4	2	100	1	0.9	0.7	1
0.63751	0.019705	0.11301	31	0.3	2	100	1	0.8	0.6	1
0.63741	0.021631	0.14521	89	0.4	1	100	1	0.9	0.7	1
0.63738	0.015725	0.11241	18	0.4	3	100	1	1	0.5	1
0.63738	0.019174	0.12689	51	0.4	1	100	1	0.7	0.8	1
0.63721	0.020573	0.17617	133	0.3	1	100	1	0.9	0.8	1
0.63707	0.012833	0.1581	92	0.4	1	100	1	0.7	0.9	1
0.63704	0.016767	0.14348	76	0.4	1	100	1	0.7	0.7	1
0.63693	0.020407	0.15385	22	0.3	3	100	1	0.7	0.8	1
0.63679	0.019643	0.18779	144	0.3	1	100	1	0.8	0.9	1
0.63678	0.016195	0.14122	75	0.4	1	100	1	0.8	0.7	1
0.63659	0.018588	0.14328	123	0.3	1	100	1	0.9	0.6	1
0.63653	0.018701	0.10553	50	0.5	1	100	1	0.8	0.6	1
0.63652	0.019582	0.1341	35	0.4	2	100	1	1	0.8	1
0.63643	0.02079	0.14628	35	0.5	3	100	1	1	1	1
0.63643	0.0203	0.15142	136	0.3	1	100	1	0.9	0.5	1
0.6364	0.017207	0.14591	83	0.4	1	100	1	0.8	0.8	1
0.63634	0.015825	0.138	115	0.4	1	100	1	0.9	0.5	1
0.63631	0.018142	0.1145	36	0.3	2	100	1	0.7	0.5	1
0.6362	0.020313	0.1528	23	0.4	3	100	1	0.9	0.8	1
0.63609	0.019163	0.098541	35	0.5	1	100	1	0.6	0.5	1
0.6359	0.015471	0.13215	47	0.5	2	100	1	1	0.6	1
0.63588	0.015747	0.1258	90	0.4	1	100	1	0.8	0.5	1
0.63575	0.020632	0.12931	15	0.5	3	100	1	1	0.6	1
0.63565	0.022032	0.097555	35	0.5	1	100	1	0.7	0.5	1
0.63557	0.019342	0.17326	125	0.3	1	100	1	0.8	0.8	1
0.63556	0.016755	0.15327	92	0.4	1	100	1	0.9	0.8	1
0.63556	0.015562	0.17074	90	0.3	2	100	1	1	0.8	1
0.63549	0.014599	0.19628	166	0.3	1	100	1	0.6	0.8	1
0.63546	0.018448	0.10331	48	0.5	1	100	1	0.9	0.5	1
0.63542	0.017115	0.13434	38	0.5	2	100	1	1	0.8	1
0.63539	0.01485	0.20959	136	0.3	2	100	1	0.7	0.7	1
0.63536	0.019357	0.096538	32	0.5	1	100	1	0.7	0.6	1
0.63534	0.021717	0.1286	58	0.3	1	100	1	0.9	0.7	1
0.63528	0.012391	0.1258	89	0.5	1	100	1	0.8	0.5	1
0.63528	0.016923	0.14179	82	0.5	1	100	1	0.9	0.7	1
0.63521	0.01751	0.15678	147	0.3	1	100	1	0.8	0.6	1
0.63521	0.01483	0.1838	151	0.3	1	100	1	0.7	0.7	1
0.63514	0.018547	0.11443	58	0.5	1	100	1	1	1	1
0.63512	0.020889	0.11898	59	0.5	1	100	1	1	0.6	1
0.63497	0.018218	0.16009	94	0.3	2	100	1	1	1	1
0.63497	0.018218	0.16037	94	0.3	2	100	1	1	1	1
0.6349	0.018861	0.13848	35	0.4	2	100	1	0.9	0.8	1
0.63489	0.016565	0.1276	35	0.5	3	100	1	0.7	0.5	1
0.63485	0.016199	0.17095	37	0.2	4	100	1	1	1	1
0.63478	0.016761	0.12784	34	0.5	2	100	1	1	0.7	1
0.63475	0.01861	0.1256	86	0.4	1	100	1	0.8	0.6	1
0.63471	0.018911	0.12942	58	0.5	1	100	1	0.9	0.8	1
0.63469	0.020664	0.1669	117	0.3	2	100	1	0.7	0.6	1
0.63461	0.013308	0.15577	94	0.3	1	100	1	0.7	0.9	1
0.6346	0.015391	0.22672	199	0.1	2	100	1	1	1	1
0.6346	0.015391	0.22964	199	0.1	2	100	1	1	1	1
0.63458	0.01746	0.1442	18	0.3	3	100	1	0.7	0.7	1
0.63457	0.017551	0.16918	81	0.3	2	100	1	0.9	0.7	1
0.63456	0.016975	0.23694	76	0.1	5	100	1	1	1	1
0.63456	0.016975	0.23144	76	0.1	5	100	1	1	1	1
0.63455	0.01633	0.17941	129	0.3	1	100	1	0.7	0.8	1
0.63455	0.022282	0.14385	84	0.3	1	100	1	1	0.9	1
0.63452	0.018368	0.12098	59	0.4	1	100	1	1	0.7	1
0.63447	0.014731	0.1589	142	0.4	1	100	1	0.7	0.6	1
0.63441	0.015535	0.12349	22	0.5	3	100	1	0.7	0.6	1
0.63435	0.016244	0.13525	33	0.3	2	100	1	1	0.9	1
0.6343	0.011351	0.14547	128	0.4	1	100	1	0.7	0.5	1
0.6343	0.020401	0.14873	79	0.5	1	100	1	0.9	0.9	1
0.63429	0.021219	0.13317	80	0.3	1	100	1	1	0.7	1
0.63427	0.015007	0.17318	120	0.5	1	100	1	0.7	0.9	1
0.63426	0.018588	0.13702	105	0.2	1	100	1	1	1	1
0.63418	0.021124	0.20925	244	0.1	1	100	1	1	1	1
0.63418	0.021124	0.20921	244	0.1	1	100	1	1	1	1
0.63413	0.015819	0.15299	18	0.5	4	100	1	1	1	1
0.63413	0.018225	0.10948	36	0.5	1	100	1	1	0.7	1
0.63412	0.017303	0.17691	130	0.4	1	100	1	0.9	0.9	1
0.63411	0.022001	0.1346	77	0.3	1	100	1	1	0.8	1
0.63409	0.017827	0.12815	54	0.5	1	100	1	0.8	0.8	1
0.63408	0.02026	0.11359	82	0.3	1	100	1	1	0.5	1
0.63408	0.014587	0.1511	74	0.4	2	100	1	1	0.6	1
0.63404	0.015406	0.15607	144	0.3	1	100	1	0.7	0.6	1
0.63387	0.021743	0.13389	71	0.4	1	100	1	1	0.9	1
0.63384	0.015863	0.15607	83	0.3	2	100	1	1	0.6	1
0.63383	0.021256	0.1446	78	0.3	1	100	1	0.9	0.9	1
0.6338	0.015193	0.12788	24	0.4	2	100	1	0.8	0.7	1
0.63375	0.017867	0.14551	130	0.3	1	100	1	0.7	0.5	1
0.63375	0.015465	0.15082	130	0.3	1	100	1	0.6	0.6	1
0.63374	0.018153	0.097105	49	0.5	1	100	1	1	0.5	1
0.63373	0.017995	0.11545	51	0.4	2	100	1	1	0.5	1
0.63371	0.013203	0.17353	45	0.3	3	100	1	0.6	0.8	1
0.63368	0.020297	0.17257	92	0.3	2	100	1	1	0.7	1
0.63367	0.022102	0.12475	81	0.4	1	100	1	1	1	1
0.63365	0.013654	0.15887	22	0.4	3	100	1	0.8	0.9	1
0.63363	0.023056	0.12054	78	0.3	1	100	1	1	1	1
0.63363	0.023056	0.12758	78	0.3	1	100	1	1	1	1
0.63363	0.016367	0.1385	15	0.5	3	100	1	0.9	0.6	1
0.6336	0.021917	0.11878	52	0.4	1	100	1	1	0.8	1
0.63349	0.019674	0.1386	91	0.3	1	100	1	1	0.6	1
0.63342	0.018755	0.29631	174	0.3	3	100	1	0.6	0.9	1
0.6334	0.014342	0.11478	34	0.5	1	100	1	0.6	0.7	1
0.6334	0.016595	0.13267	41	0.4	2	100	1	1	0.7	1
0.63339	0.019409	0.1514	34	0.4	3	100	1	0.9	0.6	1
0.63339	0.011608	0.14913	17	0.4	3	100	1	0.8	0.8	1
0.63338	0.021838	0.52722	838	0.03	1	100	1	1	1	1
0.63334	0.015155	0.10177	55	0.4	1	100	1	1	0.5	1
0.63331	0.020617	0.10772	50	0.6	1	100	1	1	1	1
0.6333	0.013683	0.14041	30	0.4	3	100	1	1	0.6	1
0.63328	0.011569	0.17582	69	0.3	2	100	1	0.6	0.9	1
0.63321	0.021401	0.12884	63	0.5	1	100	1	1	0.9	1
0.63311	0.017621	0.11773	37	0.4	2	100	1	0.6	0.6	1
0.6331	0.014765	0.1773	74	0.3	2	100	1	0.7	0.9	1
0.63309	0.012483	0.11498	32	0.5	1	100	1	0.6	0.8	1
0.63307	0.018658	0.11194	62	0.5	1	100	1	0.9	0.6	1
0.63307	0.019661	0.13156	57	0.3	1	100	1	0.8	0.7	1
0.63306	0.017473	0.11567	18	0.5	3	100	1	0.9	0.5	1
