cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.64152	0.015858	0.15089	25	0.4	3	100	1	1	1	1
0.63775	0.015511	0.12403	51	0.4	2	100	1	1	1	1
0.63756	0.015118	0.23501	36	0.3	6	100	1	1	1	1
0.63648	0.018946	0.11195	46	0.2	2	100	1	1	1	1
0.6356	0.015603	0.17418	143	0.1	2	100	1	1	1	1
0.6354	0.015243	0.40975	179	0.1	6	100	1	1	1	1
0.63506	0.013347	0.20394	57	0.4	4	100	1	1	1	1
0.63488	0.024051	0.10504	99	0.3	1	100	1	1	1	1
0.63487	0.01571	0.18098	30	0.3	4	100	1	1	1	1
0.63451	0.012502	0.24713	45	0.2	6	100	1	1	1	1
0.63432	0.020541	0.22731	79	0.1	4	100	1	1	1	1
0.63415	0.01497	0.19118	102	0.1	3	100	1	1	1	1
0.63414	0.014996	0.10548	34	0.3	2	100	1	1	1	1
0.63414	0.017174	0.26181	77	0.1	5	100	1	1	1	1
0.63377	0.014131	0.21673	35	0.2	5	100	1	1	1	1
0.63362	0.023519	0.092492	72	0.4	1	100	1	1	1	1
0.63361	0.019905	0.099857	86	0.2	1	100	1	1	1	1
0.63326	0.015627	0.20091	25	0.3	5	100	1	1	1	1
0.63308	0.013364	0.1745	82	0.2	3	100	1	1	1	1
0.63253	0.019159	0.11369	131	0.1	1	100	1	1	1	1
0.63199	0.013154	0.18636	44	0.2	4	100	1	1	1	1
0.63001	0.013122	0.21878	28	0.4	6	100	1	1	1	1
0.62806	0.01261	0.16507	62	0.3	3	100	1	1	1	1
0.62786	0.010487	0.23425	56	0.4	5	100	1	1	1	1
