cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.63538	0.01735	0.15991	32	0.5	3	100	1	1	1	1
0.63525	0.020709	0.13273	29	0.5	3	100	1	0.7	0.6	1
0.63513	0.017755	0.16014	60	0.6	2	10	1	1	1	1
0.63508	0.020465	0.13932	35	0.3	2	1	1	1	1	1
0.63487	0.019341	0.12527	26	0.5	3	100	1	0.8	0.6	1
0.63472	0.020848	0.11523	30	0.6	1	1	1	1	1	1
0.63472	0.020848	0.11027	30	0.6	1	10	1	1	1	1
0.63445	0.019517	0.13475	72	0.4	1	100	1	1	1	1
0.63419	0.019096	0.12415	14	0.6	2	1	1	1	1	1
0.63409	0.018287	0.12729	53	0.5	1	100	1	1	1	1
0.63373	0.022757	0.23399	46	0.4	6	100	1	1	1	1
0.63341	0.020108	0.15087	31	0.5	3	100	1	1	0.8	1
0.63327	0.020337	0.10708	21	0.5	1	1	1	1	1	1
0.63327	0.020337	0.10934	21	0.5	1	10	1	1	1	1
0.63325	0.022241	0.18964	96	0.4	2	10	1	1	1	1
0.63323	0.021631	0.15418	101	0.3	1	100	1	1	1	1
0.6332	0.022039	0.1058	24	0.6	1	100	1	1	1	1
0.63316	0.016433	0.14248	33	0.4	2	1	1	1	1	1
0.63312	0.018829	0.17521	23	0.4	4	100	1	1	1	1
0.63304	0.018581	0.16273	111	0.3	1	10	1	1	1	1
0.63277	0.021069	0.13799	45	0.5	3	100	1	0.9	0.5	1
0.63273	0.021047	0.15625	108	0.3	1	1	1	1	1	1
0.63248	0.020558	0.11728	38	0.4	1	1	1	1	1	1
0.63248	0.020558	0.11542	38	0.4	1	10	1	1	1	1
0.63234	0.02123	0.11631	29	0.7	1	1	1	1	1	1
0.63234	0.02123	0.11391	29	0.7	1	10	1	1	1	1
0.63227	0.014514	0.1985	15	0.3	6	100	1	1	1	1
0.63205	0.019833	0.29603	311	0.1	1	100	1	1	1	1
0.63191	0.022714	0.10587	22	0.7	1	100	1	1	1	1
0.6319	0.013836	0.16652	38	0.5	3	100	1	0.8	0.8	1
0.63187	0.015832	0.15706	28	0.4	3	100	1	1	1	1
0.63185	0.019061	0.13932	38	0.7	2	1	1	1	1	1
0.63181	0.02245	0.17978	94	0.7	2	10	1	1	1	1
0.63174	0.014948	0.12517	19	0.5	3	100	1	0.7	0.7	1
0.63169	0.017014	0.3447	183	0.1	4	100	1	1	1	1
0.63169	0.019347	0.18749	18	0.4	5	100	1	1	1	1
0.6316	0.019541	0.12035	16	0.5	3	100	1	0.6	0.6	1
