cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.6409	0.021129	0.29564	357	0.03	3	100	1	0.9	0.5	1
0.64055	0.01878	0.25434	291	0.03	3	100	1	0.7	0.5	1
0.63955	0.020466	0.30223	346	0.03	3	100	1	0.8	0.7	1
0.63929	0.018128	0.2059	196	0.03	3	100	1	0.8	0.6	1
0.63896	0.016284	0.29569	373	0.03	3	100	1	1	0.6	1
0.63892	0.020095	0.32677	397	0.03	3	100	1	0.9	0.7	1
0.63891	0.020708	0.3205	345	0.03	3	100	1	0.8	0.9	1
0.6389	0.023891	0.28001	453	0.03	1	100	1	0.9	0.6	1
0.63888	0.020914	0.33081	547	0.03	1	100	1	0.8	0.7	1
0.63883	0.01741	0.21135	230	0.03	3	100	1	1	0.5	1
0.63867	0.021318	0.27192	288	0.03	3	100	1	0.8	0.8	1
0.63863	0.021306	0.5679	551	0.03	1	100	1	0.8	0.9	1
0.63859	0.022482	0.32937	552	0.03	1	100	1	0.9	0.7	1
0.63854	0.018157	0.23459	232	0.03	3	100	1	0.9	0.8	1
0.63853	0.022803	0.22613	334	0.03	1	100	1	0.8	0.5	1
0.63837	0.02412	0.26616	408	0.03	1	100	1	0.9	0.9	1
0.63825	0.019646	0.32924	555	0.03	1	100	1	0.8	0.6	1
0.63825	0.018808	0.233	214	0.03	3	100	1	0.7	0.9	1
0.63823	0.023444	0.27528	446	0.03	1	100	1	0.9	0.5	1
0.63814	0.023676	0.31385	524	0.03	1	100	1	1	1	1
0.63814	0.023676	0.30813	524	0.03	1	100	1	1	1	1
0.6381	0.022355	0.24091	262	0.03	3	100	1	0.8	0.5	1
0.63806	0.018861	0.25627	264	0.03	3	100	1	0.7	0.7	1
0.63802	0.018478	0.26718	306	0.03	3	100	1	0.9	0.6	1
0.63797	0.021659	0.3586	603	0.03	1	100	1	0.9	0.8	1
0.63796	0.017463	0.29533	291	0.03	3	100	1	1	0.9	1
0.63794	0.022804	0.50246	535	0.03	1	100	1	1	0.9	1
0.63792	0.020952	0.31993	514	0.03	1	100	1	0.7	0.9	1
0.63788	0.024364	0.29951	529	0.03	1	100	1	1	0.7	1
0.63788	0.017842	0.28606	347	0.03	3	100	1	1	0.7	1
0.63788	0.021963	0.3164	516	0.03	1	100	1	0.8	0.8	1
0.63787	0.023578	0.20819	297	0.05	1	100	1	1	1	1
0.63786	0.019516	0.29521	316	0.03	3	100	1	0.9	0.9	1
0.63778	0.017262	0.27416	313	0.03	3	100	1	0.7	0.6	1
0.63773	0.019274	0.25085	255	0.03	3	100	1	1	1	1
0.63773	0.019274	0.25136	255	0.03	3	100	1	1	1	1
0.63773	0.023728	0.30499	528	0.03	1	100	1	1	0.8	1
0.63771	0.023337	0.43309	798	0.02	1	100	1	1	1	1
0.63768	0.023243	0.29348	524	0.03	1	100	1	1	0.5	1
0.63761	0.023546	0.26133	411	0.04	1	100	1	1	1	1
0.6376	0.017672	0.21599	200	0.04	3	100	1	1	1	1
