cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.63418	0.020016	0.13559	26	0.6	1	100	1	1	0.5	1
0.63228	0.014835	0.13854	27	0.6	1	100	1	0.6	0.9	1
0.62996	0.021463	0.13677	36	0.6	1	100	1	0.9	0.5	1
0.62978	0.021392	0.14973	54	0.6	1	100	1	0.7	0.5	1
0.62965	0.017605	0.17183	82	0.6	1	100	1	0.8	0.7	1
0.62958	0.018295	0.13357	48	0.6	1	100	1	1	0.6	1
0.62936	0.01873	0.17506	92	0.6	1	100	1	0.9	0.7	1
0.62934	0.021215	0.13172	24	0.6	1	100	1	0.9	0.8	1
0.62914	0.017815	0.1449	37	0.6	1	100	1	0.9	0.9	1
0.62898	0.019255	0.17357	101	0.6	1	100	1	0.8	0.5	1
0.62885	0.017984	0.14126	31	0.6	1	100	1	0.7	0.7	1
0.62876	0.016406	0.15617	59	0.6	1	100	1	1	0.8	1
0.62851	0.021128	0.13981	50	0.6	1	100	1	1	0.7	1
0.62841	0.016479	0.13335	25	0.6	1	100	1	0.9	0.6	1
0.62834	0.022914	0.1465	39	0.6	1	100	1	0.7	0.8	1
0.62821	0.017526	0.15504	61	0.6	1	100	1	1	0.9	1
0.62816	0.019545	0.18241	92	0.6	1	100	1	0.8	0.8	1
0.62812	0.014898	0.13992	38	0.6	1	100	1	0.6	0.7	1
0.62776	0.014087	0.15161	56	0.6	1	100	1	0.8	0.6	1
0.62763	0.014091	0.17655	34	0.6	1	100	1	0.6	0.5	1
0.62753	0.015905	0.15122	45	0.6	1	100	1	0.7	0.9	1
0.62695	0.016524	0.15196	43	0.6	1	100	1	0.6	0.8	1
0.62684	0.012338	0.27131	193	0.6	1	100	1	0.8	0.9	1
0.62555	0.018032	0.12999	30	0.6	1	100	1	0.7	0.6	1
0.62469	0.012579	0.15749	66	0.6	1	100	1	0.6	0.6	1
