cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.63272	0.015082	0.20757	97	0.03	1	10	1	1	1	1
0.6327	0.017702	0.41691	26	0.02	6	10	1	0.9	0.7	1
0.63269	0.014646	0.28517	4	0.02	6	10	1	0.7	0.5	1
0.63256	0.016714	0.13924	21	0.1	1	10	1	1	1	1
0.63255	0.014458	0.52579	21	0.2	6	10	1	1	1	1
0.63237	0.015372	0.19621	28	0.3	2	1	1	1	1	1
0.63237	0.014815	0.46746	26	0.1	5	10	1	1	1	1
0.63237	0.014815	0.46749	26	0.1	5	10	1	1	1	1
0.63218	0.014546	0.21533	48	0.1	2	100	1	1	1	1
0.63217	0.015293	0.30891	8	0.02	6	10	1	0.9	0.5	1
0.63202	0.015475	0.2035	15	0.3	2	10	1	1	1	1
0.63202	0.015475	0.20515	15	0.3	2	10	1	1	1	1
0.63199	0.015869	0.26047	2	0.6	3	10	1	1	1	1
0.63199	0.018061	0.16366	6	0.2	3	10	1	0.8	0.5	1
0.63183	0.017026	0.19625	27	0.1	2	1	1	1	1	1
0.63183	0.016269	0.25637	56	0.1	2	10	1	1	1	1
0.63183	0.016269	0.23756	56	0.1	2	10	1	1	1	1
0.63182	0.012614	0.56259	56	0.03	5	1	1	1	1	1
0.63182	0.012769	0.40153	59	0.02	6	10	1	0.7	0.6	1
0.63162	0.015658	0.32722	21	0.1	5	100	1	1	1	1
0.63162	0.015429	0.33222	16	0.02	6	10	1	0.6	0.7	1
0.63144	0.015039	0.4598	24	0.06	5	10	1	1	1	1
0.63129	0.014832	0.17041	7	0.3	2	100	1	1	1	1
0.63129	0.017025	0.43082	212	0.01	2	10	1	1	1	1
0.63127	0.017895	0.53242	104	0.02	6	10	1	0.9	0.6	1
0.63126	0.016687	0.34661	9	0.1	4	10	1	1	1	1
0.63126	0.01515	0.47481	98	0.03	5	100	1	1	1	1
0.63126	0.016687	0.34528	9	0.1	4	10	1	1	1	1
0.63125	0.01851	0.49236	86	0.03	6	100	1	1	1	1
0.63089	0.016607	0.36399	22	0.1	6	100	1	1	1	1
0.63074	0.014848	0.21728	9	0.2	3	10	1	0.8	0.8	1
0.63056	0.016129	0.22331	3	0.3	3	100	1	1	1	1
0.63055	0.013905	0.34335	55	0.03	4	100	1	1	1	1
0.63039	0.011692	0.48247	7	0.1	6	10	1	1	1	1
0.63039	0.011692	0.48796	7	0.1	6	10	1	1	1	1
0.63019	0.015962	0.36903	50	0.02	6	10	1	0.8	0.5	1
0.62983	0.018658	0.32295	6	0.02	6	10	1	0.8	0.6	1
0.62967	0.017408	0.34149	5	0.3	4	1	1	1	1	1
0.62966	0.01595	0.46472	14	0.1	5	1	1	1	1	1
0.62948	0.013522	0.20389	14	0.4	2	10	1	1	1	1
0.62928	0.015534	0.72388	137	0.02	6	10	1	0.9	0.8	1
0.62926	0.022631	0.39331	9	0.02	6	10	1	0.8	0.8	1
0.62911	0.017079	0.42083	9	0.2	5	10	1	1	1	1
0.6291	0.014851	0.31077	34	0.1	4	100	1	1	1	1
0.62895	0.010139	0.36564	12	0.2	6	10	1	0.9	0.7	1
0.62894	0.016022	0.12867	18	0.3	1	10	1	1	1	1
0.62876	0.015104	0.35087	7	0.2	6	10	1	0.7	0.8	1
0.62874	0.015693	0.59303	23	0.03	6	1	1	1	1	1
0.62874	0.016027	0.33077	9	0.2	6	10	1	0.7	0.7	1
0.62858	0.016366	0.11804	27	0.3	1	1	1	1	1	1
0.62855	0.020051	0.30141	8	0.3	5	100	1	1	1	1
0.62804	0.019237	0.28617	6	0.2	6	10	1	0.9	0.5	1
0.628	0.017266	0.33554	8	0.3	6	100	1	1	1	1
0.62767	0.012868	0.54998	12	0.1	6	1	1	1	1	1
0.6275	0.019404	0.34029	6	0.5	4	10	1	1	1	1
0.6275	0.019435	0.29568	5	0.2	6	10	1	0.7	0.6	1
0.62732	0.014972	0.19872	10	0.5	2	10	1	1	1	1
0.62718	0.016535	0.34118	5	0.4	4	10	1	1	1	1
0.62717	0.016471	0.11764	17	0.3	1	100	1	1	1	1
0.62697	0.018343	0.27632	15	0.3	4	100	1	1	1	1
0.62663	0.015106	0.41421	8	0.3	5	10	1	1	1	1
0.62663	0.015106	0.41708	8	0.3	5	10	1	1	1	1
0.62662	0.013343	0.35612	13	0.3	4	10	1	1	1	1
0.62662	0.013343	0.35458	13	0.3	4	10	1	1	1	1
0.62607	0.017955	0.28501	12	0.2	6	10	1	0.8	0.5	1
0.62606	0.0083941	0.39633	17	0.2	6	10	1	0.8	0.8	1
0.62605	0.019416	0.31881	9	0.2	6	10	1	0.8	0.6	1
0.62587	0.017293	0.34101	5	0.2	6	10	1	0.8	0.7	1
0.6257	0.014137	0.48661	8	0.3	6	10	1	1	1	1
0.6257	0.014137	0.48546	8	0.3	6	10	1	1	1	1
0.6257	0.01338	0.27733	5	0.2	6	10	1	0.6	0.6	1
0.62533	0.012239	0.31231	9	0.2	6	10	1	0.6	0.7	1
0.62497	0.015339	0.26091	5	0.2	6	10	1	0.7	0.5	1
0.62445	0.013709	0.31468	3	0.2	6	10	1	0.9	0.6	1
0.62392	0.013802	0.41559	16	0.2	6	10	1	0.9	0.8	1
0.62337	0.018587	0.32984	3	0.6	4	10	1	1	1	1
0.62321	0.012438	0.52094	6	0.3	6	1	1	1	1	1
0.62302	0.017253	0.46299	13	0.3	5	1	1	1	1	1
0.62177	0.0089885	0.24673	3	0.2	6	10	1	0.6	0.5	1
0.6216	0.017169	0.40751	5	0.4	5	10	1	1	1	1
0.62139	0.017435	0.33753	10	0.2	6	10	1	0.6	0.8	1
0.62105	0.01439	0.40524	5	0.5	5	10	1	1	1	1
0.6187	0.018429	0.40206	3	0.6	5	10	1	1	1	1
0.61763	0.022497	0.2028	14	0.6	2	10	1	1	1	1
0.61583	0.018311	0.46294	3	0.5	6	10	1	1	1	1
0.61477	0.015747	0.46556	5	0.6	6	10	1	1	1	1
0.61353	0.017765	0.47623	5	0.4	6	10	1	1	1	1
0.63812	0.023601	0.13534	6	0.02	3	10	1	0.6	0.5	1
