"cv_mean","cv_std","min_taken","best_iteration","eta","max_depth","min_child_weight","gamma","subsample","colsample_bytree","alpha"
1148.42038902822,6.85503313490442,95.7175291498502,5737,0.03,3,1,0.2,1,1,10
1157.80927164856,7.79021246559769,41.681744547685,597,0.3,3,1,0,1,1,0
1167.54458500438,5.02755152254275,36.107658235232,381,0.3,4,1,0,1,1,0
1194.6337028028,10.2592428075618,30.3553377509117,177,0.3,6,1,0,1,1,0
1220.6893585677,6.47132386779584,32.7106580495834,85,0.3,8,1,0,1,1,0
1133.55653705692,7.90781972823819,320,5469,0.01,12,1,2,0.8,0.5,1
1135.33141027782,14.8514920301486,130.939775502682,737,0.03,12,100,0,0.7,0.7,0
